host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18
AQ89,1500_to_1599,1549.5,4,4,3,4,0.00345375,0.0022860000000000003,0.009229999999999999,0.013801999999999998,0.006903833333333333,0.0045720000000000005,0.00345375,0.0022860000000000003,0.009229999999999999,0.013801999999999998,0.006903833333333333,0.0045720000000000005,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQ90,1500_to_1599,1549.5,10,10,10,10,0.0229043,0,0.018288,0.050495,0.02466611111111111,NA,0.0229043,0,0.018288,0.050495,0.02466611111111111,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
AQ92,1500_to_1599,1549.5,6,6,5,6,0.017546000000000006,0.0045885000000000006,0.027440000000000006,0.041223,0.02411373333333334,0.009177000000000001,0.017546000000000006,0.0045885000000000006,0.027440000000000006,0.041223,0.02411373333333334,0.009177000000000001,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0
AR6,1500_to_1599,1549.5,12,12,8,12,0.008615666666666666,0.0081658,0.018473,0.036446000000000006,0.01722272727272727,0.0163296,0.008615666666666666,0.0081658,0.018473,0.036446000000000006,0.01722272727272727,0.0163296,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0
AR7,1500_to_1599,1549.5,15,15,2,3,0.0324072,0.030987999999999998,0.032144,0.090985,0.03448140952380953,0.03253837362637363,0.0324072,0.030987999999999998,0.032144,0.090985,0.03448140952380953,0.03253837362637363,0.9333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR8,1500_to_1599,1549.5,31,31,4,21,0.15182754838709678,0.011892,0.239085,0.290273,0.08570059784946236,0.014732746376811594,0.15182754838709678,0.011892,0.239085,0.290273,0.08570059784946236,0.014732746376811594,0.7741935483870968,0.16129032258064516,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR9,1500_to_1599,1549.5,21,21,2,6,0.015162952380952383,0.006299650000000001,0.022549999999999997,0.036123999999999996,0.013204809523809523,0.011557984210526315,0.015162952380952383,0.006299650000000001,0.022549999999999997,0.036123999999999996,0.013204809523809523,0.011557984210526315,0.9523809523809523,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3,1500_to_1599,1549.5,6,6,3,5,0.022636166666666666,0.013780333333333334,0.018893,0.037433999999999995,0.020081666666666668,0.02756,0.022636166666666666,0.013780333333333334,0.018893,0.037433999999999995,0.020081666666666668,0.02756,0.5,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4,1500_to_1599,1549.5,9,9,3,8,0.005078,0.006096666666666667,0.018348,0.027479,0.010151722222222222,0.012190666666666667,0.005078,0.006096666666666667,0.018348,0.027479,0.010151722222222222,0.012190666666666667,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU62,1500_to_1599,1549.5,3,3,3,3,0.0029546666666666666,0,0.008855,0.008859,0.005908,NA,0.0029546666666666666,0,0.008855,0.008859,0.005908,NA,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
