dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR01_sl1000_mr075_nv10_5,0.974,0.594,0.738,0.893,0.781,0.833,0.797,0.797,0.797,0.939,0.719,0.814,0.923,0.75,0.828
SIR01_sl1000_mr075_nv10_6,1.0,0.25,0.4,0.667,0.25,0.364,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl1000_mr075_nv10_7,1.0,0.625,0.769,0.957,0.917,0.936,0.833,0.833,0.833,0.87,0.833,0.851,0.958,0.958,0.958
SIR01_sl1000_mr075_nv10_8,1.0,0.438,0.609,0.909,0.625,0.741,0.625,0.625,0.625,0.818,0.562,0.667,0.833,0.625,0.714
SIR01_sl1000_mr075_nv10_9,1.0,0.519,0.683,0.762,0.593,0.667,0.704,0.704,0.704,0.9,0.667,0.766,0.8,0.593,0.681
SIR01_sl1000_mr15_nv10_10,0.9,0.562,0.692,0.783,0.562,0.655,0.75,0.75,0.75,0.84,0.656,0.737,0.87,0.625,0.727
SIR01_sl1000_mr15_nv10_11,1.0,0.5,0.667,1.0,0.5,0.667,0.667,0.667,0.667,0.875,0.583,0.7,1.0,0.583,0.737
SIR01_sl1000_mr15_nv10_12,1.0,0.375,0.545,0.765,0.542,0.634,0.75,0.75,0.75,0.842,0.667,0.744,0.789,0.625,0.698
SIR01_sl1000_mr15_nv10_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_15,1.0,0.263,0.417,0.697,0.605,0.648,0.605,0.605,0.605,0.72,0.474,0.571,0.786,0.579,0.667
SIR01_sl1000_mr15_nv10_16,1.0,0.571,0.727,1.0,0.857,0.923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_17,1.0,0.55,0.71,1.0,0.8,0.889,0.9,0.9,0.9,0.941,0.8,0.865,1.0,0.8,0.889
SIR01_sl1000_mr15_nv10_18,1.0,0.565,0.722,0.78,0.667,0.719,0.732,0.754,0.743,0.846,0.638,0.727,0.918,0.652,0.763
SIR01_sl1000_mr15_nv10_19,1.0,0.667,0.8,1.0,0.667,0.8,0.889,0.889,0.889,0.889,0.889,0.889,1.0,0.889,0.941
SIR01_sl1000_mr15_nv10_20,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_3,0.976,0.695,0.812,0.922,0.797,0.855,0.817,0.831,0.824,0.9,0.763,0.826,0.922,0.797,0.855
