host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20
AI005,1800_to_1899,1849.5,10,10,8,10,0.029858600000000003,0.0035703333333333333,0.046942000000000005,0.12250200000000003,0.04925613333333334,0.00714,0.029858600000000003,0.0035703333333333333,0.046942000000000005,0.12250200000000003,0.04925613333333334,0.00714,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
AI007,1800_to_1899,1849.5,7,7,5,5,0.006172000000000001,0.0054015,0.010802,0.025210000000000003,0.01131409523809524,0.010803,0.006172000000000001,0.0054015,0.010802,0.025210000000000003,0.01131409523809524,0.010803,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI052,1800_to_1899,1849.5,5,5,5,5,0.013583600000000001,0,0.01803,0.035892999999999994,0.021539799999999998,NA,0.013583600000000001,0,0.01803,0.035892999999999994,0.021539799999999998,NA,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI102,1800_to_1899,1849.5,7,7,1,4,0.006678285714285715,0.006678285714285715,0.01445,0.021651999999999998,0.012670190476190476,0.012670190476190476,0.006678285714285715,0.006678285714285715,0.01445,0.021651999999999998,0.012670190476190476,0.012670190476190476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI105,1800_to_1899,1849.5,10,10,3,8,0.0136632,0.0042486,0.018002000000000004,0.039432,0.01941217777777778,0.0077884,0.0136632,0.0042486,0.018002000000000004,0.039432,0.01941217777777778,0.0077884,0.5,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI107,1800_to_1899,1849.5,15,15,9,13,0.09709573333333334,0.00450325,0.14068999999999998,0.203281,0.10350958095238096,0.009004166666666667,0.09709573333333334,0.00450325,0.14068999999999998,0.203281,0.10350958095238096,0.009004166666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0
AI142,1800_to_1899,1849.5,7,7,4,7,0.016064285714285715,0.019033,0.025831,0.043313,0.02274838095238095,0.025963666666666666,0.016064285714285715,0.019033,0.025831,0.043313,0.02274838095238095,0.025963666666666666,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI201,1800_to_1899,1849.5,6,6,5,6,0.1079945,0.007167999999999999,0.132969,0.17742700000000003,0.09978126666666669,0.014335999999999998,0.1079945,0.007167999999999999,0.132969,0.17742700000000003,0.09978126666666669,0.014335999999999998,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI202,1800_to_1899,1849.5,5,5,3,5,0.026318200000000003,0.007126500000000001,0.029332000000000004,0.04010400000000001,0.017437800000000003,0.014253000000000002,0.026318200000000003,0.007126500000000001,0.029332000000000004,0.04010400000000001,0.017437800000000003,0.014253000000000002,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI240,1800_to_1899,1849.5,11,11,2,5,0.006491727272727271,0.0035675999999999993,0.007155,0.01429,0.006359454545454546,0.0061852,0.006491727272727271,0.0035675999999999993,0.007155,0.01429,0.006359454545454546,0.0061852,0.9090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI283,1800_to_1899,1849.5,13,13,2,7,0.033606923076923076,0.005396249999999999,0.041046,0.051907,0.015260666666666667,0.00959128787878788,0.033606923076923076,0.005396249999999999,0.041046,0.051907,0.015260666666666667,0.00959128787878788,0.9230769230769231,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI001,1900_to_1999,1949.5,12,12,5,10,0.005752333333333334,0.0036355,0.007298000000000001,0.014571,0.008313787878787879,0.007007,0.005752333333333334,0.0036355,0.007298000000000001,0.014571,0.008313787878787879,0.007007,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI002,1900_to_1999,1949.5,18,18,7,16,0.04470844444444445,0.020745,0.0434,0.10282799999999999,0.04843254901960784,0.02712789090909091,0.04470844444444445,0.020745,0.0434,0.10282799999999999,0.04843254901960784,0.02712789090909091,0.6111111111111112,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0
AI003,1900_to_1999,1949.5,8,8,7,8,0.09891625,0.007358999999999999,0.177368,0.222041,0.11993678571428572,0.014717999999999998,0.09891625,0.007358999999999999,0.177368,0.222041,0.11993678571428572,0.014717999999999998,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
